"","Film","Year","Category","Ratings","Runtime","Stars","Brief"
"1","The Lion King","(1994)","Animation, Adventure, Drama            ","8.5","88 min","
Matthew Broderick, 
Jeremy Irons, 
James Earl Jones, 
Whoopi Goldberg
    ","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"2","Hamilton","(2020)","Biography, Drama, History            ","8.4","160 min","
Lin-Manuel Miranda, 
Phillipa Soo, 
Leslie Odom Jr., 
Renée Elise Goldsberry
    ","
The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
"3","Singin' in the Rain","(1952)","Comedy, Musical, Romance            ","8.3","103 min","
Gene Kelly, 
Donald O'Connor, 
Debbie Reynolds, 
Jean Hagen
    ","
A silent film production company and cast make a difficult transition to sound."
"4","Lagaan: Once Upon a Time in India","(2001)","Drama, Musical, Sport            ","8.1","224 min","
Aamir Khan, 
Raghuvir Yadav, 
Gracy Singh, 
Rachel Shelley
    ","
The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers."
"5","La La Land","(2016)","Comedy, Drama, Music            ","8.0","128 min","
Ryan Gosling, 
Emma Stone, 
Rosemarie DeWitt, 
J.K. Simmons
    ","
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
"6","Dancer in the Dark","(2000)","Crime, Drama, Musical            ","8.0","140 min","
Björk, 
Catherine Deneuve, 
David Morse, 
Peter Stormare
    ","
An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film."
"7","The Nightmare Before Christmas","(1993)","Animation, Family, Fantasy            ","8.0","76 min","
Danny Elfman, 
Chris Sarandon, 
Catherine O'Hara, 
William Hickey
    ","
Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
"8","Aladdin","(1992)","Animation, Adventure, Comedy            ","8.0","90 min","
Scott Weinger, 
Robin Williams, 
Linda Larkin, 
Jonathan Freeman
    ","
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
"9","Beauty and the Beast","(1991)","Animation, Family, Fantasy            ","8.0","84 min","
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart
    ","
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love."
"10","Fiddler on the Roof","(1971)","Drama, Family, Musical            ","8.0","181 min","
Topol, 
Norma Crane, 
Leonard Frey, 
Molly Picon
    ","
In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village."
"11","The Sound of Music","(1965)","Biography, Drama, Family            ","8.0","172 min","
Julie Andrews, 
Christopher Plummer, 
Eleanor Parker, 
Richard Haydn
    ","
A woman leaves an Austrian convent to become a governess to a Naval officer widower's children."
"12","The Wizard of Oz","(1939)","Adventure, Family, Fantasy            ","8.0","102 min","
Judy Garland, 
Frank Morgan, 
Ray Bolger, 
Bert Lahr
    ","
Dorothy Gale is swept away from her home in Kansas to the magical Land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home and help her friends as well."
"13","Kal Ho Naa Ho","(2003)","Comedy, Drama, Musical            ","7.9","186 min","
Preity Zinta, 
Shah Rukh Khan, 
Saif Ali Khan, 
Jaya Bachchan
    ","
Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
"14","The Blues Brothers","(1980)","Action, Adventure, Comedy            ","7.9","133 min","
John Belushi, 
Dan Aykroyd, 
Cab Calloway, 
John Candy
    ","
Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised."
"15","All That Jazz","(1979)","Drama, Music, Musical            ","7.9","123 min","
Roy Scheider, 
Jessica Lange, 
Ann Reinking, 
Leland Palmer
    ","
Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
"16","The Court Jester","(1955)","Adventure, Comedy, Family            ","7.9","101 min","
Danny Kaye, 
Glynis Johns, 
Basil Rathbone, 
Angela Lansbury
    ","
A hapless carnival performer masquerades as the court jester as part of a plot against an evil ruler who has overthrown the rightful King."
"17","A Night at the Opera","(1935)","Comedy, Music, Musical            ","7.9","96 min","
Groucho Marx, 
Chico Marx, 
Harpo Marx, 
Kitty Carlisle
    ","
A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies."
